Timestamp,SessionID,WeaponCount,AttackingAbilitiesCount,DefenseAbilitiesCount,SurviveTime,Win,RoomNumber,Level
11/18/2025 13:08:18,WEB_638990679543090000,15,7,4,142.686,TRUE,5,1
11/18/2025 13:09:23,WEB_638990680976710000,23,3,0,65.118,FALSE,2,2
11/18/2025 13:37:47,WEB_638990695913240000,859,13,6,275.1,TRUE,9,1
11/18/2025 13:42:33,WEB_638990687212920000,0,4,1,164.018,TRUE,5,1
11/18/2025 13:43:51,WEB_638990696715970000,1377,10,22,555.644,TRUE,10,1
11/18/2025 13:43:55,LOCAL_638990700585538682,73,1,8,165.074,TRUE,4,1
11/18/2025 13:46:07,WEB_638990701434520000,20,5,0,212.12,TRUE,5,1
11/18/2025 13:49:59,WEB_638990702323270000,764,4,7,309.655,FALSE,6,1
11/18/2025 14:38:50,WEB_638990733760540000,339,5,0,153.046,TRUE,4,1
11/18/2025 14:46:52,WEB_638990735451300000,151,24,2,465.753,TRUE,10,2
11/18/2025 14:55:22,WEB_638990744607000000,0,2,1,59.681,FALSE,2,1
11/18/2025 15:15:06,WEB_638991331245820000,0,1,1,64.662,FALSE,2,1
11/18/2025 15:23:26,WEB_638990757585880000,144,5,12,447.433,TRUE,9,1
11/18/2025 15:35:17,WEB_638990762838460000,0,6,7,632.667,TRUE,20,2
11/18/2025 15:39:09,WEB_638990770603140000,0,0,0,59.697,FALSE,3,2
11/18/2025 15:39:40,WEB_638990770288890000,0,1,2,151.304,TRUE,6,1
11/18/2025 15:46:31,WEB_638990773003870000,108,2,9,290.003,TRUE,5,1
11/18/2025 15:50:21,WEB_638990775284820000,0,3,8,292.403,TRUE,8,2
11/18/2025 18:04:37,WEB_638990858413890000,0,0,0,35.408,FALSE,1,1
11/19/2025 15:23:52,WEB_638991625315730000,0,5,1,100.099,FALSE,2,1
11/19/2025 15:25:14,WEB_638991626533900000,120,5,0,60.696,FALSE,1,1
11/19/2025 15:30:29,WEB_638991629602910000,143,4,0,68.832,FALSE,2,1
11/19/2025 15:42:39,WEB_638991630410350000,0,16,6,272.136,FALSE,6,1
11/19/2025 20:01:37,WEB_638991792800960000,50,0,0,16.728,FALSE,1,1
11/20/2025 0:40:28,WEB_638991960125170000,14,1,0,14.534,FALSE,1,1
11/20/2025 0:43:35,WEB_638991960396100000,0,0,5,174.777,FALSE,5,1
11/20/2025 14:12:55,WEB_638992447040160000,0,8,2,67.376,FALSE,1,1
11/20/2025 14:17:15,WEB_638992447735320000,0,30,6,257.87,FALSE,3,1
11/20/2025 14:18:16,WEB_638992450335460000,0,2,0,58.267,FALSE,1,1
