Timestamp,SessionID,TotalSurvivalTime,FinalWaveCount
10/20/2025 19:24:20,638965849646730422,94.3,1
10/20/2025 19:25:45,638965851240759728,19.46,0
10/20/2025 19:26:28,638965851484104931,39.1,1
10/20/2025 19:26:28,638965851484104931,39.1,1
10/20/2025 19:26:59,638965851945283500,24.079,0
10/20/2025 19:27:18,638965852220182911,15.282,0
10/20/2025 19:29:37,638965852497248600,126.273,1
10/21/2025 8:17:37,6.38966E+17,17.57,0
10/21/2025 8:53:03,6.38966E+17,113.273,2
10/21/2025 10:55:37,6.38966E+17,146.091,3
10/21/2025 10:57:54,6.38966E+17,131.794,3
10/21/2025 11:00:27,6.38966E+17,150.853,2
10/21/2025 12:46:44,638966475835260280,19.82,0
10/21/2025 13:51:36,638966514397811490,25.84,0
10/21/2025 13:55:59,6.38967E+17,109.491,1
10/21/2025 14:43:00,6.38967E+17,30.71,0
10/21/2025 14:43:00,6.38967E+17,30.71,0
10/21/2025 14:50:25,6.38967E+17,17.848,0
10/21/2025 14:50:25,6.38967E+17,17.848,0
10/21/2025 14:51:33,6.38967E+17,66.575,0
10/21/2025 15:14:03,6.38967E+17,27.135,0
10/21/2025 15:29:40,6.38967E+17,27.788,0
10/21/2025 15:51:41,6.38967E+17,51.807,0
10/21/2025 15:52:34,6.38967E+17,52.527,0
10/21/2025 15:56:11,6.38967E+17,91.832,0
10/21/2025 15:57:14,6.38967E+17,47.277,0
10/21/2025 15:58:08,6.38967E+17,52.04,0
10/21/2025 16:16:32,6.38967E+17,10.778,0
10/21/2025 22:51:24,638966832463304606,73.32,0
10/24/2025 20:26:35,638969341748135629,219.18,6
10/24/2025 21:03:34,6.38969E+17,211.675,2
