Timestamp,SessionID,WaveDuration,WaveNumber
10/20/2025 19:23:10,638965849646730422,23.68,1
10/20/2025 19:26:15,638965851484104931,25.62,1
10/20/2025 19:27:52,638965852497248600,21.453,1
10/21/2025 2:24:33,638966102400443309,31.6,1
10/21/2025 8:51:32,6.38966E+17,22.513,1
10/21/2025 8:52:02,6.38966E+17,30.28,2
10/21/2025 10:44:28,6.38966E+17,45.669,1
10/21/2025 10:53:40,6.38966E+17,28.691,1
10/21/2025 10:54:12,6.38966E+17,32.5,2
10/21/2025 10:54:52,6.38966E+17,40.26,3
10/21/2025 10:56:00,6.38966E+17,17.894,1
10/21/2025 10:56:50,6.38966E+17,50.14,2
10/21/2025 10:57:27,6.38966E+17,37.64,3
10/21/2025 10:58:22,6.38966E+17,25.573,1
10/21/2025 10:59:03,6.38966E+17,41.38,2
10/21/2025 10:59:50,638966411591822360,30.54,1
10/21/2025 11:56:14,6.38966E+17,38.183,1
10/21/2025 11:59:58,638966447729603350,24.34,1
10/21/2025 12:01:56,638966448202584550,94.92,1
10/21/2025 12:03:26,6.38966E+17,27.158,1
10/21/2025 12:03:27,638966449662987780,40.34,1
10/21/2025 13:43:54,638966509793051530,53.78,1
10/21/2025 13:48:16,638966512696250270,26.037,1
10/21/2025 13:49:04,638966512996009081,42.86,1
10/21/2025 13:52:09,638966514981647890,30.453,1
10/21/2025 13:52:48,6.38967E+17,54.351,1
10/21/2025 14:19:11,638966531190752250,30.7,1
10/21/2025 14:25:02,638966534714734050,29.73,1
10/21/2025 14:25:48,638966534714734050,44.292,2
10/21/2025 14:35:43,638966541075995010,34.578,1
10/21/2025 14:52:25,6.38967E+17,29.963,1
10/21/2025 15:49:49,6.38967E+17,83.445,1
10/21/2025 15:54:05,6.38967E+17,88.81,1
10/21/2025 16:00:17,6.38967E+17,124.678,1
10/21/2025 16:02:10,6.38967E+17,108.854,2
10/21/2025 16:23:57,638966605844338783,52.42,1
10/21/2025 16:25:30,638966606973160376,33.1,1
10/22/2025 16:29:34,638967473570542252,17.36,1
10/22/2025 16:39:26,638967479249991621,41.6,1
10/22/2025 16:41:30,638967480521388595,37.66,1
10/22/2025 16:45:03,638967482986740722,3.84,1
10/22/2025 16:45:07,638967482986740722,5.16,2
10/22/2025 18:25:15,638967542993509443,16.6,1
10/22/2025 18:25:46,638967542993509443,31.14,2
10/22/2025 20:32:12,6.38968E+17,42.144,1
10/23/2025 3:10:04,638967857817208306,21.98,1
10/23/2025 17:31:09,638968374297536143,32.32,1
10/23/2025 17:51:19,638968386512100936,27.76,1
10/23/2025 18:01:00,638968392103405836,48.74,1
10/23/2025 22:20:27,638968548091015181,17.42,1
10/24/2025 0:16:34,638968617536404468,39.94,1
10/24/2025 3:54:28,638968748532551651,15.42,1
10/24/2025 4:36:29,638968773695283472,19.64,1
10/24/2025 4:36:50,638968773695283472,21.58,2
10/24/2025 4:37:10,638968773695283472,20.1,3
10/24/2025 4:39:52,638968775639063182,28.44,1
10/24/2025 4:41:24,638968776661441784,18.46,1
10/24/2025 4:42:39,638968777467331242,12.82,1
10/24/2025 4:42:49,638968777467331242,10.3,2
10/24/2025 4:43:28,638968777467331242,39.16,3
10/24/2025 4:43:47,638968777467331242,19.12,4
10/24/2025 4:44:18,638968777467331242,30.9,5
10/24/2025 4:46:49,638968779973358565,12.54,1
10/24/2025 4:47:09,638968779973358565,20.4,2
10/24/2025 4:47:30,638968779973358565,20.5,3
10/24/2025 4:47:53,638968779973358565,23.18,4
10/24/2025 4:48:22,638968779973358565,29.2,5
10/24/2025 17:36:55,638969242002271255,15,1
10/24/2025 20:23:17,638969341748135629,21.16,1
10/24/2025 20:24:08,638969341748135629,51.92,2
10/24/2025 20:24:31,638969341748135629,22.64,3
10/24/2025 20:25:07,638969341748135629,35.66,4
10/24/2025 20:25:39,638969341748135629,31.98,5
10/24/2025 20:26:09,638969341748135629,30.16,6
10/24/2025 21:00:50,6.38969E+17,49.815,1
10/24/2025 21:01:42,6.38969E+17,51.297,2
10/25/2025 0:25:11,638969486887307752,24.32,1
10/25/2025 13:00:51,638969940184538139,12.4,1
10/25/2025 13:19:07,638969951331119176,14.7,1
10/25/2025 13:19:23,638969951331119176,16.32,2
10/25/2025 13:19:28,638969951331119176,4.8,3
10/25/2025 13:30:54,638969958268348582,27.9,1
10/25/2025 13:31:15,638969958268348582,21.76,2
10/26/2025 15:31:24,638970894428268303,37.34,1
10/26/2025 15:31:55,638970894428268303,31.48,2
10/26/2025 16:06:21,638970915491594689,27.84,1
10/26/2025 16:06:43,638970915491594689,22.46,2
10/26/2025 16:07:27,638970915491594689,43.58,3
10/26/2025 16:09:53,638970917639530053,25.46,1
10/26/2025 16:13:56,638970920108146125,21.66,1
10/26/2025 16:42:49,638970937387135077,25.92,1
10/26/2025 17:26:21,638970963398665956,37.74,1
10/26/2025 17:52:28,638970979200524126,24.92,1
10/26/2025 17:56:18,638970981402508158,34.66,1
10/26/2025 17:56:41,638970981402508158,22.88,2
10/26/2025 17:57:56,638970981402508158,43.66,3
10/26/2025 17:58:56,638970981402508158,60.56,4
10/26/2025 17:59:49,638970981402508158,53.3,5
10/26/2025 18:01:01,638970981402508158,71.8,6
10/26/2025 18:01:56,638970981402508158,55.16,7
10/26/2025 20:38:07,638971078652296175,18.5,1
10/26/2025 20:44:21,638971082402119863,18.12,1
