Timestamp,SessionID,Time,Passed,RoomNumber,Level
11/3/2025 21:16:16,LOCAL_638978013172864025,34.98,TRUE,1,
11/3/2025 21:16:39,LOCAL_638978013172864025,22.76,TRUE,2,
11/4/2025 3:02:59,LOCAL_638978221440617608,32.76,FALSE,1,
11/4/2025 5:14:25,LOCAL_638978300491396507,14.06,FALSE,1,
11/4/2025 5:17:49,LOCAL_638978302518867263,15.58,TRUE,1,
11/4/2025 6:03:16,LOCAL_638978329670694908,27.14,FALSE,1,
11/4/2025 8:10:32,LOCAL_638978406034655157,26.1,FALSE,1,
11/4/2025 8:53:47,LOCAL_638978431961435448,28.08,TRUE,1,
11/4/2025 9:03:51,LOCAL_638978437899729970,39.02,TRUE,1,
11/4/2025 9:18:21,LOCAL_638978446618157454,36.98,TRUE,1,
11/4/2025 9:28:40,LOCAL_638978452616073678,54.78,TRUE,1,
11/4/2025 13:35:58,LOCAL_638978600875071904,35.1,TRUE,1,
11/4/2025 13:36:31,LOCAL_638978600875071904,33.06,TRUE,2,
11/4/2025 13:37:13,LOCAL_638978600875071904,42.64,FALSE,3,
11/4/2025 13:38:35,LOCAL_638978602943814187,19.74,TRUE,1,
11/4/2025 13:47:33,LOCAL_638978608323442030,19.4,FALSE,1,
11/4/2025 13:50:06,LOCAL_638978609679288661,37.28,FALSE,1,
11/4/2025 13:50:48,LOCAL_638978609954248350,50.96,TRUE,1,
11/4/2025 13:50:57,LOCAL_638978610139107015,42.24,TRUE,1,
11/4/2025 13:51:30,LOCAL_638978609954248350,42.76,TRUE,2,
11/4/2025 13:51:53,LOCAL_638978610139107015,56.14,TRUE,2,
11/4/2025 13:52:31,LOCAL_638978609954248350,61.04,TRUE,3,
11/4/2025 13:52:37,LOCAL_638978609954248350,5.76,TRUE,4,
11/4/2025 14:33:21,LOCAL_638978635529526821,23.9,TRUE,1,
11/4/2025 14:33:44,LOCAL_638978635529526821,22.78,TRUE,2,
11/4/2025 14:34:08,LOCAL_638978635529526821,24.3,TRUE,3,
11/4/2025 14:36:51,LOCAL_638978635529526821,46.84,TRUE,5,
11/4/2025 14:42:59,LOCAL_638978641387595690,38.64,FALSE,1,
11/4/2025 14:48:40,LOCAL_638978644857057140,32.96,TRUE,1,
11/4/2025 14:49:08,LOCAL_638978644857057140,28.02,FALSE,2,
11/4/2025 14:50:25,LOCAL_638978645570469740,66.18,TRUE,1,
11/4/2025 15:31:42,LOCAL_638978670862839540,15.34,FALSE,1,
11/4/2025 19:30:47,LOCAL_638978814208937203,24.4,TRUE,1,
11/4/2025 20:12:40,BUILD_638978839260877047,32.02,TRUE,1,
11/4/2025 21:10:55,BUILD_638978874533756371,0,TRUE,1,
11/4/2025 22:01:30,BUILD_638978904624956218,26.38,TRUE,1,
11/5/2025 1:50:26,LOCAL_638979042066752340,20.22,FALSE,1,
11/5/2025 1:57:47,LOCAL_638979045343624991,49.44,TRUE,1,
11/5/2025 2:01:50,LOCAL_638979047799824081,62.46,TRUE,1,
11/5/2025 2:03:18,WEB_LOCAL_638979049415940000,37.64,TRUE,1,
11/5/2025 2:07:17,LOCAL_638979051899071616,48.22,TRUE,1,
11/5/2025 2:08:02,LOCAL_638979051899071616,45.42,TRUE,2,
11/5/2025 2:13:19,LOCAL_638979054718013607,63.04,TRUE,1,
11/5/2025 2:19:10,LOCAL_638979059242009649,27.42,TRUE,1,
11/5/2025 3:21:39,LOCAL_638979096646550799,36.32,FALSE,1,
11/13/2025 10:05:28,LOCAL_638986250898994840,34.74,TRUE,1,
11/13/2025 10:06:05,LOCAL_638986250898994840,37.52,TRUE,2,
11/13/2025 10:06:41,LOCAL_638986250898994840,35.5,TRUE,3,
11/13/2025 19:40:27,LOCAL_638986596263366140,0.02,TRUE,1,
11/13/2025 19:41:28,LOCAL_638986596880052350,0.02,TRUE,1,
11/13/2025 19:42:09,LOCAL_638986596880052350,40.62,TRUE,2,
11/13/2025 19:44:24,LOCAL_638986598331015270,29.84,TRUE,1,
11/13/2025 19:45:05,LOCAL_638986598331015270,41.18,TRUE,2,
11/13/2025 19:45:50,LOCAL_638986598331015270,45.52,TRUE,3,
